"surface","width_um","height_um","permission","orientations","margin_um","gap_um","minimum_side_um","enumerated","valid_distinct","after_quality","baseline","cap20","cap20_window20","cap20_novelty15","cap20_no_family_cap"
"doubleSheet","600000","240000","pagesAndSheet","square|square|square|square","15000","5000","20000","8","8","7","7","7","8","7","7"
"doubleSheet","600000","240000","pagesAndSheet","horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","25","25","19","10","11","17","11","11"
"doubleSheet","600000","240000","pagesAndSheet","vertical|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","113","109","38","10","18","20","18","18"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|horizontal|horizontal|horizontal","15000","5000","20000","188","184","100","10","20","20","20","20"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|vertical|horizontal|horizontal","15000","5000","20000","174","174","54","10","18","20","18","20"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|vertical|vertical|horizontal","15000","5000","20000","88","88","37","10","19","20","19","19"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|vertical|vertical|vertical","15000","5000","20000","27","27","13","7","7","17","7","7"
"doubleSheet","600000","240000","pagesAndSheet","square|square|square|square|square","15000","5000","20000","8","8","8","8","8","8","8","8"
"doubleSheet","600000","240000","pagesAndSheet","horizontal|horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","41","41","21","7","7","15","7","7"
"doubleSheet","600000","240000","pagesAndSheet","vertical|horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","133","129","82","10","20","20","20","20"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","245","241","132","10","20","20","20","20"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|vertical|horizontal|horizontal|horizontal","15000","5000","20000","297","293","142","10","20","20","20","20"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|vertical|vertical|horizontal|horizontal","15000","5000","20000","215","213","136","10","20","20","20","20"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|vertical|vertical|vertical|horizontal","15000","5000","20000","111","111","60","10","20","20","20","20"
"doubleSheet","600000","240000","pagesAndSheet","vertical|vertical|vertical|vertical|vertical|vertical","15000","5000","20000","26","26","15","10","13","20","13","13"
"doubleSheet","600000","240000","pagesAndSheet","square|square|square|square|square|square","15000","5000","20000","4","4","3","3","3","3","3","3"
